"","trait","p_value","p_adjust"
"1","B0101 Inosinic acid (IMP) *",0.0234454398228526,0.037832414259603
"2","B0102 Uridylic acid (UMP) *",0.03110324231298,0.0490740045382573
"3","B0106 GDP/GTP *",0.0163741754128351,0.0270364291700301
"4","B0206 Cysteine *",0.013372942091337,0.0226066402020221
"5","B0207 Methionine *",0.0123031702925772,0.0210487973680236
"6","B0208 Valine *",0.00190805931286414,0.00366141111387443
"7","B0212 Arginine *",1.67371916505307e-09,4.85036982525583e-09
"8","B0214 Glutamate *",1.34453939464284e-09,3.97759570915172e-09
"9","B0216 Tryptophan *",0.0022462344379768,0.00425287053590274
"10","B0217 Phenylalanine *",2.6536364439771e-06,6.28027291741248e-06
"11","B0218 Tyrosine *",0.00284060022264959,0.00523850950150964
"12","B0221 Ornithine *",1.01863217732416e-16,4.66599255419453e-16
"13","B0303 Ectoine *",4.19018387315303e-06,9.75419852438901e-06
"14","B0307 Spermidine *",4.05851254609025e-08,1.06723848434225e-07
"15","B0309 Putrescine *",0.00278568949086155,0.00520484089082026
"16","B0601 Succinate *",8.63680110409219e-17,4.08808585593697e-16
"17","B0602 Fumarate *",0.00964346173110669,0.0169058218002117
"18","B0603 Citrate *",9.4605859916551e-09,2.63412394277456e-08
"19","B0604 L-lactate *",0.0289261303479875,0.0461518034765644
"20","B0702 Riboflavin (B2) *",2.68489309103738e-19,1.58856174553045e-18
"21","B0704 Pantothenate (B5) *",5.51270101023786e-12,1.86381796060423e-11
"22","B0705 Pyridoxal-P (B6) *",2.71433085198427e-23,1.92717490490883e-22
"23","B0706 Biotin (B7) *",0.00110280755535073,0.00214518729944936
"24","B0707 Tetrahydrofolate (B9) *",6.74802310276839e-42,3.19406426864371e-40
"25","B0709 Tocopherol/tocotorienol (E) *",1.59797917167371e-11,5.27704749715504e-11
"26","B0710 Phylloquinone (K1) *",2.15067028662545e-18,1.17459684884928e-17
"27","B0711 Menaquinone (K2) *",7.6357438193196e-48,5.42137811171691e-46
"28","B0712 Ubiquinone (Q10) *",4.31522792879031e-18,2.18843702102937e-17
"29","B0804 Dipicolinate *",2.81220336620671e-07,7.00583996493601e-07
"30","B0805 Indole-3-acetate *",6.39490676744053e-05,0.000133540700143611
"31","B0901 Staphyloferrin *",0.000214399831452716,0.00043492537237551
"32","B0903 Staphylopine *",1.97693871885015e-05,4.52782738833421e-05
"33","B1004 Bacilysin *",2.15348774763029e-13,8.26473676117571e-13
"34","B1101 Acetate *",3.04377898057618e-13,1.1374121453732e-12
"35","B1501 Glyceraldehyde 3-phosphate *",1.58674403594388e-07,4.09668460189147e-07
"36","D0101 Triglyceride *",0.000553619020839266,0.00109185973554411
"37","D0104 Dicarboxylic acids *",4.2702041730991e-13,1.55479228866685e-12
"38","D0201 Cellulose *",1.82846433552555e-28,1.73094623763086e-27
"39","D0202 Xyloglucan *",8.54777360853153e-32,1.01148654367623e-30
"40","D0203 Starch *",3.97558024656536e-27,3.32077879418989e-26
"41","D0204 Chitin *",5.2085648547618e-25,3.89271689145356e-24
"42","D0205 Pectin *",9.94212901238195e-39,2.82356463951647e-37
"43","D0206 Alpha galactan *",1.53063805182949e-08,4.10095478037334e-08
"44","D0207 Beta-galactan *",3.10142343539304e-38,7.34003546376354e-37
"45","D0208 Mixed-Linkage glucans *",3.23180230373263e-34,5.09906585700037e-33
"46","D0209 Xylans *",6.30377818838554e-39,2.23784125687686e-37
"47","D0210 Beta-mannan *",1.72568262465281e-36,3.06308665875874e-35
"48","D0211 Alpha-mannan *",5.21985703237699e-17,2.5559299951639e-16
"49","D0212 Arabinan *",2.06690758152523e-29,2.25769905058909e-28
"50","D0213 Mucin *",4.08175194216649e-07,9.99325475495934e-07
"51","D0302 Sucrose *",3.67025274648299e-05,7.89660439394825e-05
"52","D0304 D-Arabinose *",1.96751933429721e-06,4.73538551644413e-06
"53","D0305 D-Mannose *",8.97936437061773e-37,1.82152820089674e-35
"54","D0306 D-Xylose *",1.02624276825416e-08,2.8024321748479e-08
"55","D0307 L-Fucose *",0.0112110374974639,0.01941423566634
"56","D0308 L-Rhamnose *",1.2939562891549e-25,1.0207877392222e-24
"57","D0309 Galactose *",5.33219407891867e-33,7.57171559206451e-32
"58","D0310 NeuAc *",2.49572557720148e-07,6.32844699933233e-07
"59","D0311 Succinic acid *",1.49758200127333e-27,1.32910402613008e-26
"60","D0312 Glucose 6P *",1.29744427412559e-10,4.18720652104167e-10
"61","D0313 Gluconate *",1.27999618055136e-28,1.29828184027352e-27
"62","D0315 D-Ribulose 5-phosphate *",4.88034308296511e-10,1.54001937284677e-09
"63","D0502 Threonine *",2.66952065385156e-12,9.47679832117303e-12
"64","D0507 Leucine *",0.000134732998277516,0.000277276605150829
"65","D0508 Lysine *",2.75943048358264e-09,7.8367825733747e-09
"66","D0509 Arginine *",0.0218234226909389,0.0356198393346359
"67","D0510 Proline *",0.00821626292523974,0.0145838666923005
"68","D0511 Glutamate *",8.93712825603334e-19,5.07628884942694e-18
"69","D0512 Histidine *",1.34453939464284e-09,3.97759570915172e-09
"70","D0601 Nitrate *",2.5998174982318e-05,5.7683450742018e-05
"71","D0604 GlcNAc *",2.93082085260843e-12,1.01506478309853e-11
"72","D0606 Allantoin *",0.015978903930283,0.0266941689188257
"73","D0607 Creatinine *",2.5528548489345e-14,1.00695941263528e-13
"74","D0609 L-carnitine *",7.08331374500448e-16,3.14322047434574e-15
"75","D0610 Methylamine *",7.97842762218468e-16,3.43314158287947e-15
"76","D0613 Taurine *",2.29862594287809e-32,2.9673171262608e-31
"77","D0614 Ammonia *",1.33602291723536e-09,3.97759570915172e-09
"78","D0702 Ethanol *",2.83561612295345e-05,6.19473060706753e-05
"79","D0807 Catechol *",2.8281811843042e-15,1.14743350906056e-14
"80","D0817 Trans-cinnamate *",0.00535187300952537,0.00961982237155193
"81","D0901 Penicillin *",0.000394551956306477,0.000789103912612953
"82","D0905 Streptogramin *",4.51192052217134e-05,9.56257782310941e-05
"83","D0907 Tetracycline *",7.10457913246077e-20,4.3863053774323e-19
"84","D0911 Lincosamide *",2.3559407790773e-05,5.31021572426947e-05
"85","S0101 Peptidoglycan *",1.04658984135528e-15,4.37105169036618e-15
"86","S0104 Lipoteichoic acid *",2.70678804861051e-18,1.42357001075071e-17
"87","S0105 Lipopolysaccharide *",2.40222840837149e-55,3.41116433988751e-53
"88","S0201 Flagellum *",2.66227931540927e-22,1.80020791803865e-21
"89","S0202 Pilus *",0.00527464097679857,0.00960255152186406
"90","S0301 Spore *",7.01687800896298e-21,4.52907580578519e-20
